temp,rain_1h,snow_1h,clouds_all,traffic_volume
280.15,0.0,0.0,90,4063
279.78,0.0,0.0,90,3364
279.65,0.0,0.0,75,2971
279.22,0.0,0.0,40,2450
279.06,0.0,0.0,40,1832
278.81,0.0,0.0,90,1231
278.55,0.0,0.0,90,718
278.59,0.0,0.0,90,545
276.99,0.0,0.0,75,411
276.35,0.0,0.0,20,688
275.4,0.0,0.0,1,1352
275.17,0.0,0.0,1,2072
274.99,0.0,0.0,1,3342
275.09,0.0,0.0,40,4258
276.88,0.0,0.0,20,4861
278.04,0.0,0.0,20,5191
279.08,0.0,0.0,40,5669
280.12,0.0,0.0,75,5074
280.25,0.0,0.0,75,5025
280.0,0.0,0.0,75,5153
279.06,0.0,0.0,90,5024
278.91,0.0,0.0,90,4779
278.39,0.0,0.0,90,4362
278.16,0.0,0.0,90,3860
278.16,0.0,0.0,90,3160
277.93,0.0,0.0,90,2992
276.9,0.0,0.0,90,3202
276.34,0.0,0.0,75,1941
276.11,0.0,0.0,75,1233
275.73,0.0,0.0,90,323
275.65,0.0,0.0,90,312
275.51,0.0,0.0,75,627
275.05,0.0,0.0,90,1508
274.77,0.0,0.0,90,1539
274.77,0.0,0.0,75,2232
275.55,0.0,0.0,75,4568
276.24,0.0,0.0,75,4624
277.01,0.0,0.0,90,4529
277.43,0.0,0.0,90,5139
278.45,0.0,0.0,90,6640
279.27,0.0,0.0,90,6589
279.27,0.0,0.0,90,4429
279.44,0.0,0.0,90,4329
279.32,0.0,0.0,90,3833
279.27,0.0,0.0,90,4015
278.11,0.0,0.0,90,3382
276.79,0.0,0.0,75,2815
275.73,0.0,0.0,90,2110
274.88,0.0,0.0,75,1555
273.92,0.0,0.0,20,959
273.08,0.0,0.0,20,455
272.62,0.0,0.0,20,336
271.78,0.0,0.0,1,265
271.05,0.0,0.0,1,314
270.63,0.0,0.0,1,779
270.33,0.0,0.0,1,2571
269.61,0.0,0.0,20,5563
270.01,0.0,0.0,20,6676
271.23,0.0,0.0,20,5966
273.71,0.0,0.0,20,4832
276.77,0.0,0.0,20,4395
279.47,0.0,0.0,20,4411
279.84,0.0,0.0,1,4648
282.34,0.0,0.0,40,4602
282.94,0.0,0.0,40,5125
283.48,0.0,0.0,1,5502
284.33,0.0,0.0,1,5979
284.48,0.0,0.0,40,5663
284.23,0.0,0.0,40,4259
281.99,0.0,0.0,20,3069
279.81,0.0,0.0,1,2378
279.35,0.0,0.0,1,2030
278.9,0.0,0.0,1,1400
278.46,0.0,0.0,1,917
277.78,0.0,0.0,1,515
277.27,0.0,0.0,1,302
277.47,0.0,0.0,1,251
276.97,0.0,0.0,20,798
276.52,0.0,0.0,40,2678
276.6,0.0,0.0,40,5733
277.31,0.0,0.0,75,6449
278.38,0.0,0.0,90,5765
279.35,0.0,0.0,90,5599
281.37,0.0,0.0,90,4534
283.11,0.0,0.0,90,4691
284.08,0.0,0.0,75,5067
285.14,0.0,0.0,75,5030
286.35,0.0,0.0,90,5300
287.23,0.0,0.0,100,5777
288.53,0.0,0.0,90,6349
290.37,0.0,0.0,90,6127
290.13,0.0,0.0,90,4460
288.86,0.0,0.0,75,3418
287.36,0.0,0.0,90,2775
285.11,0.0,0.0,90,2306
283.46,0.0,0.0,90,1846
282.45,0.0,0.0,90,947
281.88,0.0,0.0,90,494
281.78,0.0,0.0,90,332
281.09,0.0,0.0,75,261
281.17,0.0,0.0,90,361
281.25,0.0,0.0,92,5875
281.25,0.0,0.0,99,6793
281.25,0.0,0.0,99,6793
280.1,0.0,0.0,99,6283
280.1,0.0,0.0,99,6283
279.61,0.0,0.0,99,5680
279.61,0.0,0.0,99,5680
279.67,0.0,0.0,99,4632
280.19,0.0,0.0,1,4887
282.09,0.0,0.0,75,5030
282.26,0.0,0.0,75,5067
282.05,0.0,0.0,90,5227
281.59,0.0,0.0,90,5610
281.23,0.0,0.0,81,6286
282.6,0.0,0.0,81,4775
282.6,0.0,0.0,81,3340
282.6,0.0,0.0,81,3013
282.6,0.0,0.0,81,2603
282.6,0.0,0.0,81,1910
282.6,0.0,0.0,81,1037
273.9,0.0,0.0,1,347
274.4,0.0,0.0,75,350
274.05,0.0,0.0,75,850
273.71,0.0,0.0,40,2791
272.66,0.0,0.0,1,5809
272.65,0.0,0.0,1,6798
272.52,0.0,0.0,1,6304
275.19,0.0,0.0,20,5291
275.34,0.0,0.0,1,4638
284.1,0.0,0.0,50,5557
284.1,0.0,0.0,50,5818
283.78,0.0,0.0,75,6272
283.52,0.0,0.0,75,5944
283.32,0.0,0.0,90,4949
282.06,0.0,0.0,90,3511
281.95,0.0,0.0,90,3039
281.81,0.0,0.0,90,2679
282.16,0.0,0.0,90,2094
282.53,0.0,0.0,90,1284
283.91,0.0,0.0,90,630
284.64,0.0,0.0,90,410
284.61,0.0,0.0,90,331
283.18,0.0,0.0,72,372
282.26,0.0,0.0,72,739
280.77,0.0,0.0,72,2561
278.53,0.0,0.0,75,5586
277.64,0.0,0.0,75,6992
277.9,0.0,0.0,90,5860
278.18,0.0,0.0,90,5230
279.29,0.0,0.0,75,4864
280.45,0.0,0.0,75,5146
280.95,0.0,0.0,40,5526
281.74,0.0,0.0,40,5383
281.84,0.0,0.0,75,5758
282.45,0.0,0.0,75,5889
282.2,0.0,0.0,75,6057
281.54,0.0,0.0,40,6028
280.21,0.0,0.0,20,5257
282.2,0.0,0.0,56,1897
272.58,0.0,0.0,1,1335
272.06,0.0,0.0,1,769
270.99,0.0,0.0,1,570
270.29,0.0,0.0,20,413
269.48,0.0,0.0,1,399
269.27,0.0,0.0,1,740
268.91,0.0,0.0,1,1420
268.98,0.0,0.0,75,2220
269.23,0.0,0.0,40,3479
272.61,0.0,0.0,40,4546
276.78,0.0,0.0,20,4579
279.22,0.0,0.0,1,4438
280.35,0.0,0.0,1,4623
281.81,0.0,0.0,1,4440
283.05,0.0,0.0,1,4495
283.96,0.0,0.0,1,4483
284.53,0.0,0.0,1,4591
284.44,0.0,0.0,1,4477
283.64,0.0,0.0,1,4221
281.85,0.0,0.0,20,3672
281.38,0.0,0.0,1,3015
281.84,0.0,0.0,75,2769
282.23,0.0,0.0,90,2875
282.18,0.0,0.0,90,1931
282.49,0.0,0.0,90,1309
282.54,0.0,0.0,90,870
282.58,0.0,0.0,90,654
282.23,0.0,0.0,90,364
282.08,0.0,0.0,90,262
282.23,0.0,0.0,90,505
282.24,0.0,0.0,90,861
282.24,0.0,0.0,90,1132
282.24,0.0,0.0,57,1797
282.43,0.0,0.0,57,2685
282.43,0.0,0.0,57,2685
282.43,0.0,0.0,57,2685
282.33,0.0,0.0,57,3370
282.33,0.0,0.0,57,3370
282.82,0.0,0.0,57,3662
282.82,0.0,0.0,57,3662
283.33,0.0,0.0,57,4076
283.33,0.0,0.0,57,4076
283.33,0.0,0.0,57,4076
283.75,0.0,0.0,93,4128
283.75,0.0,0.0,93,4128
283.75,0.0,0.0,93,4128
284.09,0.0,0.0,93,4358
284.09,0.0,0.0,93,4358
284.09,0.0,0.0,93,4358
284.55,0.0,0.0,93,4342
284.55,0.0,0.0,93,4342
284.68,0.0,0.0,93,4234
284.64,0.0,0.0,93,4271
284.64,0.0,0.0,93,4271
284.4,0.0,0.0,93,4080
284.17,0.0,0.0,93,3453
284.03,0.0,0.0,93,2718
283.58,0.0,0.0,93,2439
283.04,0.0,0.0,93,1819
281.95,0.0,0.0,93,1002
281.95,0.0,0.0,93,1002
281.61,0.0,0.0,93,542
281.61,0.0,0.0,93,542
281.57,0.0,0.0,85,303
281.42,0.0,0.0,85,239
281.29,0.0,0.0,85,335
281.29,0.0,0.0,85,335
281.02,0.0,0.0,85,810
281.02,0.0,0.0,85,810
280.82,0.0,0.0,85,2606
280.82,0.0,0.0,85,2606
280.39,0.0,0.0,85,5714
280.19,0.0,0.0,100,6798
279.82,0.0,0.0,100,6114
279.75,0.0,0.0,100,5094
280.07,0.0,0.0,100,4473
280.32,0.0,0.0,90,4529
281.72,0.0,0.0,100,4823
284.01,0.0,0.0,40,4872
285.88,0.0,0.0,1,5238
286.87,0.0,0.0,1,5584
287.6,0.0,0.0,20,6246
287.27,0.0,0.0,20,5957
286.18,0.0,0.0,20,4535
285.2,0.0,0.0,75,3234
284.68,0.0,0.0,75,2677
284.49,0.0,0.0,90,2077
283.54,0.0,0.0,20,1380
282.33,0.0,0.0,75,927
281.21,0.0,0.0,20,500
279.87,0.0,0.0,1,324
278.93,0.0,0.0,1,257
277.91,0.0,0.0,1,354
277.21,0.0,0.0,1,769
276.61,0.0,0.0,1,2769
276.11,0.0,0.0,1,5789
274.81,0.0,0.0,20,7055
274.99,0.0,0.0,20,6408
277.91,0.0,0.0,20,5254
280.71,0.0,0.0,20,4547
283.85,0.0,0.0,20,4784
286.01,0.0,0.0,40,5015
286.31,0.0,0.0,1,5057
288.15,0.0,0.0,75,5430
289.15,0.0,0.0,75,5813
288.99,0.0,0.0,75,6496
288.86,0.0,0.0,75,6429
288.16,0.0,0.0,90,5142
287.28,0.0,0.0,68,3311
287.04,0.0,0.0,90,2777
286.9,0.0,0.0,90,2331
287.09,0.0,0.0,90,1767
287.09,0.0,0.0,90,1093
286.89,0.0,0.0,75,554
286.93,0.0,0.0,75,333
286.93,0.0,0.0,90,267
287.07,0.0,0.0,90,358
286.56,0.0,0.0,75,777
285.91,0.0,0.0,90,2732
285.29,0.0,0.0,90,5637
284.92,0.0,0.0,75,5564
285.35,0.0,0.0,75,6274
285.72,0.0,0.0,100,5403
285.72,0.0,0.0,100,5403
287.09,0.0,0.0,75,4680
288.31,0.0,0.0,75,4642
288.61,0.0,0.0,1,4979
290.32,0.0,0.0,1,4851
291.36,0.0,0.0,1,4291
292.01,0.0,0.0,1,4714
292.61,0.0,0.0,1,6723
292.65,0.0,0.0,1,6180
290.52,0.0,0.0,40,4843
288.35,0.0,0.0,40,3435
286.72,0.0,0.0,40,2921
285.49,0.0,0.0,40,2763
284.22,0.0,0.0,20,1930
283.8,0.0,0.0,20,1160
283.72,0.0,0.0,20,654
282.8,0.0,0.0,40,374
282.32,0.0,0.0,99,301
282.38,0.0,0.0,99,397
282.76,0.0,0.0,90,794
282.88,0.0,0.0,99,2564
284.18,0.0,0.0,75,5358
284.69,0.0,0.0,90,6441
285.0,0.0,0.0,90,5536
286.9,0.0,0.0,99,5256
288.35,0.0,0.0,90,4619
289.59,0.0,0.0,90,5107
288.27,0.0,0.0,99,5147
286.41,0.0,0.0,90,5283
285.96,0.0,0.0,90,5704
287.04,0.0,0.0,90,5887
287.18,0.0,0.0,90,6307
286.94,0.0,0.0,90,5953
286.01,0.0,0.0,90,4519
284.67,0.0,0.0,100,3427
283.44,0.0,0.0,100,2921
282.51,0.0,0.0,100,2649
281.9,0.0,0.0,90,2005
281.85,0.0,0.0,90,1177
281.28,0.0,0.0,90,699
280.97,0.0,0.0,87,436
280.44,0.0,0.0,87,353
280.44,0.0,0.0,87,353
280.02,0.0,0.0,87,399
279.79,0.0,0.0,87,720
279.79,0.0,0.0,87,720
279.79,0.0,0.0,87,720
279.79,0.0,0.0,87,720
279.74,0.0,0.0,87,2370
279.74,0.0,0.0,87,2370
279.65,0.0,0.0,87,5162
279.65,0.0,0.0,87,5162
279.65,0.0,0.0,87,5162
279.45,0.0,0.0,91,5777
279.45,0.0,0.0,91,5777
279.22,0.0,0.0,91,5235
279.22,0.0,0.0,91,5235
279.22,0.0,0.0,91,5235
279.35,0.0,0.0,91,4606
279.35,0.0,0.0,91,4606
279.92,0.0,0.0,91,4328
280.44,0.0,0.0,90,4282
281.0,0.0,0.0,90,4489
281.51,0.0,0.0,90,4908
281.93,0.0,0.0,92,5620
281.94,0.0,0.0,92,5849
281.94,0.0,0.0,92,5849
282.27,0.0,0.0,92,4945
282.41,0.0,0.0,92,4619
282.21,0.0,0.0,90,4479
281.69,0.0,0.0,75,3804
281.26,0.0,0.0,90,2908
280.66,0.0,0.0,92,2942
280.43,0.0,0.0,92,3077
280.43,0.0,0.0,92,3077
280.1,0.0,0.0,92,2051
280.1,0.0,0.0,92,2051
280.1,0.0,0.0,92,2051
280.06,0.0,0.0,92,1270
280.06,0.0,0.0,92,1270
280.28,0.0,0.0,96,773
280.28,0.0,0.0,96,773
280.38,0.0,0.0,96,589
280.62,0.0,0.0,96,432
280.62,0.0,0.0,96,432
280.91,0.0,0.0,96,401
280.91,0.0,0.0,96,401
280.91,0.0,0.0,96,401
280.96,0.0,0.0,96,759
280.96,0.0,0.0,96,759
280.96,0.0,0.0,96,759
281.13,0.0,0.0,96,1313
281.13,0.0,0.0,96,1313
281.13,0.0,0.0,96,1313
281.28,0.0,0.0,100,1824
281.28,0.0,0.0,100,1824
281.28,0.0,0.0,100,1824
281.19,0.0,0.0,100,2787
281.19,0.0,0.0,100,2787
281.19,0.0,0.0,100,2787
281.7,0.0,0.0,100,3713
281.7,0.0,0.0,100,3713
281.7,0.0,0.0,100,3713
281.7,0.0,0.0,100,3713
282.02,0.0,0.0,100,3815
282.02,0.0,0.0,100,3815
282.02,0.0,0.0,100,3815
282.02,0.0,0.0,100,3815
282.35,0.0,0.0,100,4339
282.35,0.0,0.0,100,4339
282.35,0.0,0.0,100,4339
282.71,0.0,0.0,100,4613
282.71,0.0,0.0,100,4613
282.71,0.0,0.0,100,4613
282.71,0.0,0.0,100,4613
283.31,0.0,0.0,48,4507
283.79,0.0,0.0,90,4452
284.2,0.0,0.0,75,4636
284.32,0.0,0.0,90,4810
284.13,0.0,0.0,75,5125
283.14,0.0,0.0,40,4337
281.4,0.0,0.0,40,3644
280.47,0.0,0.0,20,3107
279.52,0.0,0.0,20,2929
278.85,0.0,0.0,48,2865
278.12,0.0,0.0,48,2340
277.94,0.0,0.0,48,1372
275.93,0.0,0.0,60,1928
275.93,0.0,0.0,60,1928
284.09,0.0,0.0,75,4695
282.6,0.0,0.0,75,4335
281.72,0.0,0.0,90,1583
281.26,0.0,0.0,90,959
281.29,0.0,0.0,75,498
281.01,0.0,0.0,75,306
280.57,0.0,0.0,40,259
280.54,0.0,0.0,75,324
279.37,0.0,0.0,8,806
279.18,0.0,0.0,8,2622
279.05,0.0,0.0,8,5456
282.7,0.0,0.0,38,4324
286.17,0.0,0.0,40,4378
288.61,0.0,0.0,75,4639
290.59,0.0,0.0,20,4546
292.21,0.0,0.0,75,5006
293.56,0.0,0.0,75,5361
293.43,0.0,0.0,40,6101
293.4,0.0,0.0,40,5781
291.47,0.0,0.0,20,4272
289.17,0.0,0.0,20,3091
287.28,0.0,0.0,1,2434
286.1,0.0,0.0,1,1984
285.45,0.0,0.0,75,1383
285.33,0.0,0.0,90,959
285.07,0.0,0.0,90,511
284.58,0.0,0.0,90,346
283.88,0.0,0.0,75,253
283.55,0.0,0.0,75,349
282.85,0.0,0.0,20,807
282.42,0.0,0.0,20,2669
282.13,0.0,0.0,75,5210
281.85,0.0,0.0,40,6083
281.85,0.0,0.0,20,5790
283.07,0.0,0.0,75,5484
284.53,0.0,0.0,90,4407
285.6,0.0,0.0,75,4725
286.63,0.0,0.0,90,4826
286.75,0.0,0.0,99,4945
287.97,0.0,0.0,90,5065
288.54,0.0,0.0,99,5618
288.72,0.0,0.0,90,6094
288.53,0.0,0.0,90,5844
288.16,0.0,0.0,90,4649
287.59,0.0,0.0,90,3180
287.21,0.0,0.0,90,2963
286.29,0.0,0.0,90,2450
285.7,0.0,0.0,90,1613
285.61,0.0,0.0,90,1021
285.37,0.0,0.0,99,580
285.37,0.0,0.0,99,580
285.51,0.0,0.0,90,298
285.6,0.0,0.0,100,261
285.99,0.0,0.0,100,408
285.99,0.0,0.0,100,408
285.94,0.0,0.0,100,793
285.94,0.0,0.0,100,793
285.97,0.0,0.0,90,2643
285.97,0.0,0.0,90,2643
285.97,0.0,0.0,90,2643
285.73,0.0,0.0,90,5593
285.73,0.0,0.0,90,5593
285.73,0.0,0.0,90,5593
285.73,0.0,0.0,90,5593
285.5,0.0,0.0,90,5722
285.5,0.0,0.0,90,5722
285.55,0.0,0.0,90,5607
285.55,0.0,0.0,90,5607
285.55,0.0,0.0,90,5607
285.55,0.0,0.0,90,5607
285.93,0.0,0.0,90,5492
285.93,0.0,0.0,90,5492
285.93,0.0,0.0,90,5492
286.34,0.0,0.0,90,4542
286.82,0.0,0.0,90,4720
286.82,0.0,0.0,90,4720
288.36,0.0,0.0,90,4982
288.36,0.0,0.0,90,4982
288.36,0.0,0.0,90,4982
289.08,0.0,0.0,90,5032
289.08,0.0,0.0,90,5032
289.08,0.0,0.0,90,5032
289.88,0.0,0.0,90,5212
289.88,0.0,0.0,90,5212
290.24,0.0,0.0,90,5661
290.24,0.0,0.0,90,5661
290.24,0.0,0.0,90,5661
290.01,0.0,0.0,90,5812
289.62,0.0,0.0,90,5855
289.62,0.0,0.0,90,5855
289.61,0.0,0.0,90,4416
289.61,0.0,0.0,90,4416
289.06,0.0,0.0,90,3118
288.34,0.0,0.0,75,2877
288.34,0.0,0.0,75,2877
287.06,0.0,0.0,20,2498
287.41,0.0,0.0,75,1701
287.52,0.0,0.0,90,1028
287.81,0.0,0.0,90,578
287.29,0.0,0.0,75,354
287.23,0.0,0.0,90,272
286.44,0.0,0.0,90,370
285.32,0.0,0.0,90,809
285.32,0.0,0.0,90,809
285.43,0.0,0.0,90,2641
285.53,0.0,0.0,75,4957
285.2,0.0,0.0,90,6036
285.2,0.0,0.0,90,6036
285.02,0.0,0.0,90,5309
286.43,0.0,0.0,90,4438
287.36,0.0,0.0,90,4723
287.6,0.0,0.0,90,4879
287.29,0.0,0.0,90,5062
286.41,0.0,0.0,90,5450
286.41,0.0,0.0,90,5450
286.41,0.0,0.0,90,5450
286.41,0.0,0.0,90,5450
285.8,0.0,0.0,90,5888
285.8,0.0,0.0,90,5888
285.8,0.0,0.0,90,5888
285.8,0.0,0.0,90,5888
285.8,0.0,0.0,90,5888
285.29,0.0,0.0,90,6473
285.29,0.0,0.0,90,6473
285.29,0.0,0.0,90,6473
284.77,0.0,0.0,90,6488
284.77,0.0,0.0,90,6488
284.77,0.0,0.0,90,6488
284.29,0.0,0.0,90,5351
284.29,0.0,0.0,90,5351
284.29,0.0,0.0,90,5351
284.29,0.0,0.0,90,5351
283.79,0.0,0.0,90,3500
283.79,0.0,0.0,90,3500
283.79,0.0,0.0,90,3500
283.44,0.0,0.0,90,2856
283.44,0.0,0.0,90,2856
283.44,0.0,0.0,90,2856
283.22,0.0,0.0,90,2587
283.22,0.0,0.0,90,2587
283.22,0.0,0.0,90,2587
282.82,0.0,0.0,90,1979
282.13,0.0,0.0,90,1284
281.05,0.0,0.0,90,665
281.05,0.0,0.0,90,665
281.05,0.0,0.0,90,665
280.44,0.0,0.0,90,432
280.44,0.0,0.0,90,432
280.07,0.0,0.0,90,326
280.07,0.0,0.0,90,326
280.07,0.0,0.0,90,326
279.54,0.0,0.0,90,380
279.54,0.0,0.0,90,380
279.54,0.0,0.0,90,380
279.54,0.0,0.0,90,380
278.93,0.0,0.0,90,705
278.93,0.0,0.0,90,705
278.93,0.0,0.0,90,705
278.93,0.0,0.0,90,705
278.93,0.0,0.0,90,705
278.27,0.0,0.0,90,2430
278.27,0.0,0.0,90,2430
278.27,0.0,0.0,90,2430
278.27,0.0,0.0,90,2430
278.07,0.0,0.0,90,5426
278.07,0.0,0.0,90,5426
278.07,0.0,0.0,90,5426
277.53,0.0,0.0,90,6499
277.53,0.0,0.0,90,6499
276.23,0.0,0.0,90,5856
276.23,0.0,0.0,90,5856
276.23,0.0,0.0,90,5856
275.66,0.0,0.0,90,5234
275.66,0.0,0.0,90,5234
275.66,0.0,0.0,90,5234
275.02,0.0,0.0,90,4695
275.02,0.0,0.0,90,4695
275.02,0.0,0.0,90,4695
275.02,0.0,0.0,90,4695
275.03,0.0,0.0,90,5341
275.03,0.0,0.0,90,5341
275.03,0.0,0.0,90,5341
275.03,0.0,0.0,90,5341
274.5,0.0,0.0,90,5943
274.5,0.0,0.0,90,5943
275.01,0.0,0.0,90,5874
275.38,0.0,0.0,90,5879
275.38,0.0,0.0,90,5879
275.85,0.0,0.0,90,6060
276.56,0.0,0.0,90,6348
276.7,0.0,0.0,90,5955
276.71,0.0,0.0,90,5341
276.43,0.0,0.0,90,4144
276.23,0.0,0.0,90,3249
275.99,0.0,0.0,75,3017
276.28,0.0,0.0,90,2765
276.28,0.0,0.0,90,1894
276.01,0.0,0.0,90,1159
275.36,0.0,0.0,90,822
274.93,0.0,0.0,20,641
274.28,0.0,0.0,20,411
274.01,0.0,0.0,1,468
273.71,0.0,0.0,1,723
273.43,0.0,0.0,1,1415
273.65,0.0,0.0,20,2191
274.58,0.0,0.0,75,3185
275.39,0.0,0.0,90,4076
275.44,0.0,0.0,0,4522
276.11,0.0,0.0,90,6012
276.48,0.0,0.0,90,5975
276.5,0.0,0.0,90,5307
276.56,0.0,0.0,90,4678
276.61,0.0,0.0,90,4405
276.9,0.0,0.0,90,4403
276.61,0.0,0.0,90,4311
276.34,0.0,0.0,90,4198
275.96,0.0,0.0,90,3475
275.6,0.0,0.0,90,3078
274.86,0.0,0.0,90,2931
274.05,0.0,0.0,20,2941
273.62,0.0,0.0,20,2240
273.52,0.0,0.0,20,1564
273.54,0.0,0.0,90,795
273.63,0.0,0.0,90,447
273.63,0.0,0.0,90,443
273.22,0.0,0.0,90,330
272.75,0.0,0.0,75,453
272.16,0.0,0.0,75,755
271.06,0.0,0.0,20,953
270.68,0.0,0.0,1,1650
272.6,0.0,0.0,1,2442
274.06,0.0,0.0,1,3230
275.81,0.0,0.0,1,3575
277.54,0.0,0.0,20,4139
278.54,0.0,0.0,40,3892
278.97,0.0,0.0,40,3989
278.91,0.0,0.0,75,4294
278.81,0.0,0.0,75,4521
278.27,0.0,0.0,75,4280
276.67,0.0,0.0,75,3945
275.86,0.0,0.0,75,3169
274.29,0.0,0.0,75,2772
273.37,0.0,0.0,75,2213
272.77,0.0,0.0,75,1570
272.01,0.0,0.0,75,1065
271.78,0.0,0.0,40,530
271.41,0.0,0.0,75,331
271.46,0.0,0.0,75,270
271.76,0.0,0.0,75,316
272.24,0.0,0.0,90,799
271.98,0.0,0.0,90,2513
271.53,0.0,0.0,40,5503
271.46,0.0,0.0,40,6642
271.7,0.0,0.0,40,6195
273.26,0.0,0.0,75,5246
274.9,0.0,0.0,90,4460
276.33,0.0,0.0,90,4580
277.58,0.0,0.0,90,4771
278.5,0.0,0.0,90,4836
279.3,0.0,0.0,90,5138
279.89,0.0,0.0,90,5606
280.11,0.0,0.0,40,6120
279.82,0.0,0.0,40,5985
278.69,0.0,0.0,40,4418
277.75,0.0,0.0,40,3089
276.77,0.0,0.0,40,2636
276.61,0.0,0.0,75,2117
276.06,0.0,0.0,75,1437
275.22,0.0,0.0,20,920
274.75,0.0,0.0,20,600
274.24,0.0,0.0,20,393
273.47,0.0,0.0,20,298
273.5,0.0,0.0,1,352
273.15,0.0,0.0,75,762
273.0,0.0,0.0,20,2519
272.69,0.0,0.0,20,5478
273.08,0.0,0.0,40,6728
273.91,0.0,0.0,75,5972
274.82,0.0,0.0,75,5280
276.16,0.0,0.0,75,4626
277.69,0.0,0.0,90,4947
278.47,0.0,0.0,90,5125
279.12,0.0,0.0,90,5130
279.28,0.0,0.0,90,5394
280.19,0.0,0.0,90,5837
280.5,0.0,0.0,90,6222
280.3,0.0,0.0,90,5992
279.58,0.0,0.0,75,4578
278.78,0.0,0.0,75,3246
278.5,0.0,0.0,90,2834
276.93,0.0,0.0,75,2578
276.03,0.0,0.0,40,1979
275.01,0.0,0.0,40,1326
273.87,0.0,0.0,40,541
272.99,0.0,0.0,1,346
272.41,0.0,0.0,1,265
272.31,0.0,0.0,1,338
272.39,0.0,0.0,1,765
271.73,0.0,0.0,1,2611
271.54,0.0,0.0,1,5577
271.12,0.0,0.0,1,6908
271.17,0.0,0.0,20,6079
273.11,0.0,0.0,20,5309
276.01,0.0,0.0,20,4567
278.27,0.0,0.0,20,4804
279.84,0.0,0.0,20,5041
280.68,0.0,0.0,40,5051
281.22,0.0,0.0,20,5274
281.8,0.0,0.0,20,5936
282.2,0.0,0.0,40,6128
281.48,0.0,0.0,20,5821
280.0,0.0,0.0,20,4040
278.48,0.0,0.0,20,2711
276.86,0.0,0.0,20,2690
275.45,0.0,0.0,1,2539
274.05,0.0,0.0,1,1925
272.75,0.0,0.0,1,1471
271.73,0.0,0.0,1,716
270.91,0.0,0.0,1,453
270.15,0.0,0.0,1,324
269.68,0.0,0.0,1,390
269.44,0.0,0.0,1,775
268.96,0.0,0.0,1,2572
268.61,0.0,0.0,1,5595
268.74,0.0,0.0,1,6852
268.45,0.0,0.0,20,5892
270.9,0.0,0.0,1,5327
273.45,0.0,0.0,1,4756
275.9,0.0,0.0,20,5073
278.7,0.0,0.0,20,5286
280.25,0.0,0.0,20,5189
281.67,0.0,0.0,1,5495
283.03,0.0,0.0,1,5713
283.13,0.0,0.0,1,6317
283.04,0.0,0.0,20,6306
281.3,0.0,0.0,20,4867
279.84,0.0,0.0,40,3501
278.88,0.0,0.0,40,3110
278.51,0.0,0.0,90,2727
279.26,0.0,0.0,90,1825
279.21,0.0,0.0,90,1222
278.85,0.0,0.0,90,611
